["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["imposition","1. The act of imposing, laying on, affixing, enjoining, inflicting, obtruding, and the like. \"From imposition of strict laws.\" Milton. Made more solemn by the imposition of hands. Hammond. 2. That which is imposed, levied, or enjoined; charge; burden; injunction; tax. 3. (Eng. Univ.)  An extra exercise enjoined on students as a punishment. T. Warton. 4. An excessive, arbitrary, or unlawful exaction; hence, a trick or deception put on laid on others; cheating; fraud; delusion; imposture. Reputation is an idle and most false imposition. Shak. 5. (Eccl.)  The act of laying on the hands as a religious ceremoy, in ordination, confirmation, etc. 6. (Print.)  The act or process of imosing pages or columns of type. See Impose, v. t., 4. Syn. -- Deceit; fraud; imposture. See Deception."]
["eightscore","Eight times twenty; a hundred and sixty."]
["octuor","See Octet. [R.]"]
["ferrocyanic","Pertaining to, derived from, or designating, a ferrocyanide. ferrocyanic acid (Chem.), a white crystalline substance, H4(CN)6Fe, of strong acid properties, obtained from potassium ferrocyanide, and regarded as the type of the ferrocyanides; -- called also hydro- ferrocyanic acid, hydrogen ferrocyanide. etc."]
["sextet","See Sestet."]
["sulphite","A salt of sulphurous acid."]
["linigerous","Bearing flax; producing linen."]
["belswagger","A lewd man; also, a bully. [Obs.] Dryden."]
["triglyphic","1. Consisting of, or pertaining to, triglyphs. 2. Containing three sets of characters or sculptures."]
["hepatogenic","Arising from the liver; due to a condition of the liver; as, hepatogenic jaundice."]
["asphyxied","In a state of asphyxia; suffocated."]
["atacamite","An oxychloride of copper, usually in emerald-green prismatic crystals."]
["teratoma","A tumor, sometimes found in newborn children, which is made up of a heterigenous mixture of tissues, as of bone, cartilage and muscle."]
["mutandum","A thing which is to be changed; something which must be altered; -- used chiefly in the plural."]
["intoxicate","1. Intoxicated. 2. Overexcited, as with joy or grief. Alas, good mother, be not intoxicate for me; I am well enough. Chapman.\n\n1. To poison; to drug. South. 2. To make drunk; to inebriate; to excite or to stupefy by strong drink or by a narcotic substance. With new wine inoxicated both. Milton. 3. To excite to a transport of enthusiasm, frenzy, or madness; to elate unduly or excessively. Intoxicated with the sound of those very bells. G. Eliot. They are not intoxicated by military success. Jowett (Thuc. )."]
["abolishable","Capable of being abolished."]
["unmagistrate","To divest of the office or authority of a magistrate. [Obs.] Milton."]
["wallack","See Wallachian."]
["allfours","A game at cards, called \"High, Low, Jack, and the Game.\""]
["dehydrate","To deprive of water; to render free from water; as, to dehydrate alcohol."]
["elderish","Somewhat old; elderly. [R.]"]
["pandit","See Pundit."]
["peritonaeum","Same as Peritoneum."]
["anonaceous","Pertaining to the order of plants including the soursop, custard apple, etc."]
["chromidrosis","Secretion of abnormally colored perspiration."]
["contingentness","The state of being contingent; fortuitousness."]
["lyencephalous","Pertaining to, or characteristic of, the Lyencephala."]
["mellic","See Mellitic. [R.]"]
["lachrymose","Generating or shedding tears; given to shedding tears; suffused with tears; tearful. You should have seen his lachrymose visnomy. Lamb. -- Lach\"ry*mose`ly, adv."]
["saddler","One who makes saddles. 2. (Zoöl.)  A harp seal."]
["carnassial","Adapted to eating flesh. -- n.  A carnassial tooth; especially, the last premolar in many carnivores."]
["doeskin","1. The skin of the doe. 2. A firm woolen cloth with a smooth, soft surface like a doe's skin; -- made for men's wear."]
["cunctation","Delay; procrastination. [R.] Carlyle."]
["carcinological","Of or pertaining to carcinology."]
["dauphine","The title of the wife of the dauphin."]
["representance","Representation; likeness. [Obs.] Donne."]
["shendful","Destructive; ruinous; disgraceful. [Obs.] -- Shend\"ful*ly, adv. [Obs.] Fabyan."]
["underbrush","Shrubs, small trees, and the like, in a wood or forest, growing beneath large trees; undergrowth."]
["inexpectable","Not to be expected or anticipated. [Obs.] Bp. Hall."]
["quibble","1. A shift or turn from the point in question; a trifling or evasive distinction; an evasion; a cavil. Quibbles have no place in the search after truth. I. Watts. 2. A pun; a low conceit.\n\n1. To evade the point in question by artifice, play upon words, caviling, or by raising any insignificant or impertinent question or point; to trifle in argument or discourse; to equivocate. 2. To pun; to practice punning. Cudworth. Syn. -- To cavil; shuffle; equivocate; trifle."]
["somaj","A society; a congregation; a worshiping assembly, or church, esp. of the Brahmo-somaj. [India]"]
["tangly","1. Entangled; intricate. 2. Covered with tangle, or seaweed. Prone, helpless, on the tangly beach he lay. Falconer."]
["frizzler","One who frizzles."]
["desiccator","1. One who, or that which, desiccates. 2. (Chem.)  A short glass jar fitted with an air-tight cover, and containing some desiccating agent, as sulphuric acid or calcium chloride, above which is suspended the material to be dried, or preserved from moisture."]
["albedo","Whiteness. Specifically: (Astron.) The ratio which the light reflected from an unpolished surface bears to the total light falling upon that surface."]
["siwin","Same as Sewen."]
["guilt","1. The criminality and consequent exposure to punishment resulting from willful disobedience of law, or from morally wrong action; teh state of one who has broken a moral or political law; crime; criminality; offense against right. Satan had not answer, but stood struck With guilt of his own sin. Milton. 2. Exposure to any legal penalty or forfeiture. A ship incurs guilt by the violation of a blockade. Kent."]
["titler","A large truncated cone of refined sugar."]
["nontronite","A greenish yellow or green mineral, consisting chiefly of the hydrous silicate of iron."]
["discordance","State or quality of being discordant; disagreement; inconsistency. There will arise a thousand discordances of opinion. I. Taylor."]
["routhe","Ruth; sorrow. [Obs.] Chaucer."]
["expellable","Capable of being expelled or driven out. \"Expellable by heat.\" Kirwan."]
["quietly","1. In a quiet state or manner; without motion; in a state of rest; as, to lie or sit quietly. 2. Without tumult, alarm, dispute, or disturbance; peaceably; as, to live quietly; to sleep quietly. 3. Calmly, without agitation or violent emotion; patiently; as, to submit quietly to unavoidable evils. 4. Noiselessly; silently; without remark or violent movement; in a manner to attract little or no observation; as, he quietly left the room."]
["fum","To play upon a fiddle. [Obs.] Follow me, and fum as you go. B. Jonson."]
["insurrectionary","Pertaining to, or characterized by, insurrection; rebellious; seditious. Their murderous insurrectionary system. Burke."]
["adversaria","A miscellaneous collection of notes, remarks, or selections; a commonplace book; also, commentaries or notes. These parchments are supposed to have been St. Paul's adversaria. Bp. Bull."]
["whelm","1. To cover with water or other fluid; to cover by immersion in something that envelops on all sides; to overwhelm; to ingulf. She is my prize, or ocean whelm them all! Shak. The whelming billow and the faithless oar. Gay. 2. Fig.: To cover completely, as if with water; to immerse; to overcome; as, to whelm one in sorrows. \"The whelming weight of crime.\" J. H. Newman. 3. To throw (something) over a thing so as to cover it. [Obs.] Mortimer."]
["carnivoracity","Greediness of appetite for flesh. [Sportive.] Pope."]
["taminy","A kind of woolen cloth; tammy."]
["verticalness","Quality or state of being vertical."]
["barmecide","One who proffers some illusory advantage or benefit. Also used as an adj.: Barmecidal. \"A Barmecide feast.\" Dickens."]
["grown","p. p. of Grow."]
["resemble","1. To be like or similar to; to bear the similitude of, either in appearance or qualities; as, these brothers resemble each other. We will resemble you in that. Shak. 2. To liken; to compare; to represent as like. [Obs.] The other . . . He did resemble to his lady bright. Spenser. 3. To counterfeit; to imitate. [Obs.] \"They can so well resemble man's speech.\" Holland. 4. To cause to imitate or be like. [R.] H. Bushnell."]
["pabulation","1. The act of feeding, or providing food. [Obs.]  Cockeram. 2. Food; fodder; pabulum. [Obs.]"]
["largesse","1. Liberality; generosity; bounty. [Obs.] Fulfilled of largesse and of all grace. Chaucer. 2. A present; a gift; a bounty bestowed. The heralds finished their proclamation with their usual cry of \"Largesse, largesse, gallant knights!\" and gold and silver pieces were showered on them from the galleries. Sir W. Scott."]
["blame","1. To censure; to express disapprobation of; to find fault with; to reproach. We have none to blame but ourselves. Tillotson. 2. To bring reproach upon; to blemish. [Obs.] She . . . blamed her noble blood. Spenser. To blame, to be blamed, or deserving blame; in fault; as, the conductor was to blame for the accident. You were to blame, I must be plain with you. Shak.\n\n1. An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure. Let me bear the blame forever. Gen. xiiii. 9. 2. That which is deserving of censure or disapprobation; culpability; fault; crime; sin. Holy and without blame before him in love. Eph. i. 4. 3. Hurt; injury. [Obs.] Spenser. Syn. -- Censure; reprehension; condemnation; reproach; fault; sin; crime; wrongdoing."]
